year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.089,180,16,Europe and Central Asia,C017,5.2,9,11.01513219,31545000,23.58071964,231.1557126,77.18,13.5,720.4,0.029,0.23,1.401,176.4,78,53.63758214,17.1,92.12945208,8.28
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.055,201,11,Europe and Central Asia,C017,6.6,10.6,11.05153939,32999000,22.98406717,232.1080539,77.19,13.5,700,0.0246,0.175,1.277,172.9,79,53.63758214,17.3,91.98659494,8.23
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.065,337,22,Europe and Central Asia,C017,6,10.2,11.25123199,34970000,23.04162579,234.1529869,77.2,12.1,650.4,0.02,0.181,1.78,167.1,81,53.63758214,17.2,91.8437378,8.13
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.049,452,22,Europe and Central Asia,C017,5.8,9.8,11.25628352,35555000,22.71025861,235.7129294,77.224,11.8,688.2,0.0255,0.208,1.365,175.6,81,53.63758214,17,91.41516637,8.06
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.041,540,22,Europe and Central Asia,C017,5.8,9.8,11.34278204,37452000,22.4239148,236.5887226,77.261,11.9,808,0.0264,0.156,0.809,196.3,81,53.63758214,16.5,91.41516637,8
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.044,527,23,Europe and Central Asia,C017,6.2,10.6,11.48118857,38881000,22.74966633,237.2940123,77.312,12.3,550.7,0.0178,0.206,2.51,136.5,80,53.63758214,15.8,91.41516637,8
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.022,462,10,Europe and Central Asia,C017,6.2,10.5,11.35078976,39563000,22.83735916,237.8229543,77.376,10,661.6,0.0218,0.104,1.753,174.2,80,53.63758214,16.53684211,91.41516637,8
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.031,607,19,Europe and Central Asia,C017,6.4,10.8,12.4497765,12449000,21.55996341,238.0173188,77.453,9.1,648.6,0.0197,0.157,2.006,159.4,80,53.63758214,16.53684211,91.41516637,8
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.043,605,26,Europe and Central Asia,C017,5.4,9.5,16.38160417,71072269.92,17.79494803,237.7191191,77.54310933,9.9,753.7,0.0339,0.161,1.65,177.7,80,53.63758214,16.53684211,92.09593856,8.005502107
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.035,713,25,Europe and Central Asia,C017,6.4,10.7,24.64446366,238049809.8,10.41528314,236.7701254,77.646328,9.6,595.1,0.0211,0.165,1.51,157,79,53.63758214,16.53684211,92.10688961,8.01650632
